Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected
94,100,0,2,100,100,0,0,0,0,0,100,100,0.0280057662,47.7018061235,50.0000000000,15.8403709551,1.0000000000,0.8000000000,250.0000000000,0,0
95,100,0,2,100,100,0,0,0,0,0,100,100,0.0280057662,47.6738003573,50.0000000000,15.8403709551,1.0000000000,0.8000000000,250.0000000000,0,0
96,100,0,0,100,0,100,100,1,0,0,0,0,0.0000000000,47.6738003573,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0
97,100,0,0,100,0,100,100,0,0,0,0,0,0.0000000000,47.6738003573,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0
98,100,0,0,100,0,100,100,0,0,0,0,0,0.0000000000,47.6738003573,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0
99,100,0,0,100,0,100,100,0,0,0,0,0,0.0000000000,47.6738003573,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0
100,100,0,0,100,0,100,100,0,0,0,0,0,0.0000000000,47.6738003573,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,0
101,100,0,6,100,100,0,0,1,106,782,100,100,0.0312394441,47.6425609132,16.6666666667,15.5201548851,1.0000000000,0.8848000000,226.0397830018,0,0
102,100,0,6,100,100,0,0,0,0,0,100,100,0.0216101852,47.6209507279,16.6666666667,15.5201548851,1.0000000000,0.8000000000,250.0000000000,0,0
103,100,0,6,100,100,0,0,0,0,0,100,100,0.0216101852,47.5993405427,16.6666666667,15.5201548851,1.0000000000,0.8000000000,250.0000000000,0,0
104,100,0,6,100,100,0,0,0,0,0,100,100,0.0216101852,47.5777303575,16.6666666667,15.5201548851,1.0000000000,0.8000000000,250.0000000000,0,0
105,100,0,6,100,100,0,0,0,0,0,100,100,0.0216101852,47.5561201722,16.6666666667,15.5201548851,1.0000000000,0.8000000000,250.0000000000,0,0
106,100,0,6,100,100,0,0,1,106,782,100,100,0.0309456478,47.5251745244,16.6666666667,15.5201771059,1.0000000000,0.8848000000,226.0397830018,0,0
107,100,0,6,100,100,0,0,0,0,0,100,100,0.0213530909,47.5038214335,16.6666666667,15.5201771059,1.0000000000,0.8000000000,250.0000000000,0,0
108,100,0,6,100,100,0,0,0,0,0,100,100,0.0213530909,47.4824683426,16.6666666667,15.5201771059,1.0000000000,0.8000000000,250.0000000000,0,0
109,100,0,6,100,100,0,0,0,0,0,100,100,0.0213530909,47.4611152517,16.6666666667,15.5201771059,1.0000000000,0.8000000000,250.0000000000,0,0
110,100,0,6,100,100,0,0,0,0,0,100,100,0.0213530909,47.4397621607,16.6666666667,15.5201771059,1.0000000000,0.8000000000,250.0000000000,0,0
111,100,0,9,100,100,0,0,1,108,1073,100,100,0.0347544543,47.4050077064,11.1111111111,15.2801844061,1.0000000000,0.8864000000,225.6317689531,0,0
112,100,0,9,100,100,0,0,0,0,0,100,100,0.0218479419,47.3831597645,11.1111111111,15.2801844061,1.0000000000,0.8000000000,250.0000000000,0,0
113,100,0,9,100,100,0,0,0,0,0,100,100,0.0218479419,47.3613118226,11.1111111111,15.2801844061,1.0000000000,0.8000000000,250.0000000000,0,0
114,100,0,9,100,100,0,0,0,0,0,100,100,0.0218479419,47.3394638806,11.1111111111,15.2801844061,1.0000000000,0.8000000000,250.0000000000,0,0
115,100,0,9,100,100,0,0,0,0,0,100,100,0.0218479419,47.3176159387,11.1111111111,15.2801844061,1.0000000000,0.8000000000,250.0000000000,0,0
116,100,0,6,100,100,0,0,1,106,782,100,100,0.0326090346,47.2850069041,16.6666666667,15.5202157733,1.0000000000,0.8848000000,226.0397830018,0,0
117,100,0,6,100,100,0,0,0,0,0,100,100,0.0228610143,47.2621458898,16.6666666667,15.5202157733,1.0000000000,0.8000000000,250.0000000000,0,0
118,100,0,6,100,100,0,0,0,0,0,100,100,0.0228610143,47.2392848754,16.6666666667,15.5202157733,1.0000000000,0.8000000000,250.0000000000,0,0
119,100,0,6,100,100,0,0,0,0,0,100,100,0.0228610143,47.2164238611,16.6666666667,15.5202157733,1.0000000000,0.8000000000,250.0000000000,0,0
