Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
114,100,0,9,28,28,0,0,108,1073,34,34,0.0320918818,51.1540076990,11.1111111111,30.2859132303,1.0000000000,0.6304000000,177.6649746193
115,100,0,14,19,19,0,0,113,1558,27,27,0.0319124922,51.1220952068,7.1428571429,30.3159739710,1.0000000000,0.5224000000,145.4823889740
116,100,0,12,22,22,0,0,111,1364,30,30,0.0316665348,51.0904286720,8.3333333333,31.2729090147,1.0000000000,0.5688000000,154.7116736990
117,100,0,27,16,16,0,0,121,2819,21,21,0.0423158391,51.0481128328,3.7037037037,26.0001401723,1.0000000000,0.4328000000,147.8743068392
118,100,0,9,20,20,0,0,109,1073,27,27,0.0270473698,51.0210654630,11.1111111111,30.4002053167,1.0000000000,0.5192000000,154.0832049307
119,100,0,25,18,18,0,0,123,2625,25,25,0.0422967171,50.9787687459,4.0000000000,28.4445873057,1.0000000000,0.4984000000,144.4622792937
120,100,0,10,19,19,0,0,110,1170,24,24,0.0265781531,50.9521905928,10.0000000000,29.4738493046,1.0000000000,0.4720000000,161.0169491525
121,100,0,18,18,18,0,0,117,1946,24,24,0.0349264944,50.9172640984,5.5555555556,29.3335030230,1.0000000000,0.4776000000,150.7537688442
122,100,0,14,18,18,0,0,114,1558,24,24,0.0304417501,50.8868223483,7.1428571429,29.3334986436,1.0000000000,0.4752000000,151.5151515152
123,100,0,14,18,18,0,0,112,1558,25,25,0.0311410793,50.8556812690,7.1428571429,29.3335282205,1.0000000000,0.4896000000,147.0588235294
124,100,0,11,19,19,0,0,110,1267,24,24,0.0279789932,50.8277022758,9.0909090909,30.3159555349,1.0000000000,0.4720000000,161.0169491525
125,100,0,19,11,11,0,0,117,2043,17,17,0.0322646630,50.7954376128,5.2631578947,32.0002089696,1.0000000000,0.3656000000,120.3501094092
126,100,0,15,13,13,0,0,114,1655,17,17,0.0279664334,50.7674711794,6.6666666667,28.3078582888,1.0000000000,0.3632000000,143.1718061674
127,100,0,17,11,11,0,0,114,1849,15,15,0.0290987289,50.7383724505,5.8823529412,30.5456202566,1.0000000000,0.3312000000,132.8502415459
128,100,0,15,15,15,0,0,113,1655,18,18,0.0287656549,50.7096067956,6.6666666667,27.7334995151,1.0000000000,0.3784000000,158.5623678647
129,100,0,14,13,13,0,0,114,1558,19,19,0.0274559095,50.6821508861,7.1428571429,28.3078629599,1.0000000000,0.3952000000,131.5789473684
130,100,0,11,14,14,0,0,111,1267,21,21,0.0253963683,50.6567545178,9.0909090909,30.8573217928,1.0000000000,0.4248000000,131.8267419962
131,100,0,23,11,11,0,0,120,2431,15,15,0.0353405163,50.6214140015,4.3478260870,26.1819913361,1.0000000000,0.3360000000,130.9523809524
132,100,0,13,11,11,0,0,112,1461,16,16,0.0255398131,50.5958741884,7.6923076923,30.5456649111,1.0000000000,0.3456000000,127.3148148148
133,100,0,18,12,12,0,0,112,1946,18,18,0.0310762612,50.5647979272,5.5555555556,28.0001608897,1.0000000000,0.3776000000,127.1186440678
134,100,0,8,11,11,0,0,108,976,17,17,0.0201836491,50.5446142781,12.5000000000,32.0001866382,1.0000000000,0.3584000000,122.7678571429
135,100,0,25,8,8,0,0,122,2625,9,9,0.0347508856,50.5098633925,4.0000000000,22.0001653889,1.0000000000,0.2416000000,132.4503311258
136,100,0,13,12,12,0,0,113,1461,19,19,0.0265003319,50.4833630606,7.6923076923,32.0001957361,1.0000000000,0.3944000000,121.7038539554
137,100,0,14,7,7,0,0,112,1558,11,11,0.0233060657,50.4600569949,7.1428571429,27.4287357563,1.0000000000,0.2656000000,105.4216867470
138,100,0,15,10,10,0,0,111,1655,17,17,0.0271190991,50.4329378957,6.6666666667,32.0001528731,1.0000000000,0.3608000000,110.8647450111
139,100,0,17,9,9,0,0,113,1849,15,15,0.0283146036,50.4046232921,5.8823529412,30.2223891363,1.0000000000,0.3304000000,108.9588377724
140,100,0,15,9,9,0,0,114,1655,14,14,0.0261014191,50.3785218730,6.6666666667,30.2223825178,1.0000000000,0.3152000000,114.2131979695
141,100,0,21,7,7,0,0,115,2237,11,11,0.0307600711,50.3477618019,4.7619047619,25.1430243695,1.0000000000,0.2680000000,104.4776119403
142,100,0,9,6,6,0,0,109,1073,11,11,0.0179745606,50.3297872412,11.1111111111,32.0001927484,1.0000000000,0.2632000000,91.1854103343
143,100,0,22,7,7,0,0,116,2334,11,11,0.0320489016,50.2977383396,4.5454545455,27.4287495358,1.0000000000,0.2688000000,104.1666666667
144,100,0,13,2,2,0,0,113,1461,3,3,0.0186729366,50.2790654031,7.6923076923,32.0001644872,1.0000000000,0.1384000000,57.8034682081
145,100,0,19,4,4,0,0,114,2043,7,7,0.0269158852,50.2521495178,5.2631578947,32.0001814763,1.0000000000,0.2032000000,78.7401574803
146,100,0,13,1,1,0,0,112,1461,2,2,0.0180240487,50.2341254691,7.6923076923,32.0001216485,1.0000000000,0.1216000000,32.8947368421
