Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Rejected_Promotions,Chain_Repairs,Partial_Promotions,Emergency_Promotions
75,100,0,4,100,100,0,0,0,0,0,100,100,0.0235289681,48.0384585986,25.0000000000,8.0000877474,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
76,100,0,1,100,100,0,0,1,101,297,100,100,0.0325922453,48.0058663533,100.0000000000,8.0001769980,1.0000000000,0.8808000000,227.0663033606,0,0,0,0,0
77,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,47.9780696312,100.0000000000,8.0001769980,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
78,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,47.9502729092,100.0000000000,8.0001769980,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
79,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,47.9224761871,100.0000000000,8.0001769980,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
80,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,47.8946794650,100.0000000000,8.0001769980,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
81,100,0,1,100,100,0,0,1,101,297,100,100,0.0345922635,47.8600872015,100.0000000000,8.0001935711,1.0000000000,0.8808000000,227.0663033606,0,0,0,0,0
82,100,0,1,100,100,0,0,0,0,0,100,100,0.0296081372,47.8304790644,100.0000000000,8.0001935711,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
83,100,0,1,100,100,0,0,0,0,0,100,100,0.0296081372,47.8008709272,100.0000000000,8.0001935711,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
84,100,0,1,100,100,0,0,0,0,0,100,100,0.0296081372,47.7712627900,100.0000000000,8.0001935711,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
85,100,0,1,100,100,0,0,0,0,0,100,100,0.0296081372,47.7416546529,100.0000000000,8.0001935711,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
86,100,0,1,100,100,0,0,1,101,297,100,100,0.0299886215,47.7116660314,100.0000000000,8.0001458165,1.0000000000,0.8808000000,227.0663033606,0,0,0,0,0
87,100,0,1,100,100,0,0,0,0,0,100,100,0.0254386200,47.6862274114,100.0000000000,8.0001458165,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
88,100,0,1,100,100,0,0,0,0,0,100,100,0.0254386200,47.6607887914,100.0000000000,8.0001458165,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
89,100,0,1,100,100,0,0,0,0,0,100,100,0.0254386200,47.6353501714,100.0000000000,8.0001458165,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
90,100,0,1,100,100,0,0,0,0,0,100,100,0.0254386200,47.6099115514,100.0000000000,8.0001458165,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
91,100,0,5,100,100,0,0,1,105,685,100,100,0.0318690819,47.5780424695,20.0000000000,8.0000750564,1.0000000000,0.8840000000,226.2443438914,0,0,0,0,0
92,100,0,5,100,100,0,0,0,0,0,100,100,0.0233244764,47.5547179931,20.0000000000,8.0000750564,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
93,100,0,5,100,100,0,0,0,0,0,100,100,0.0233244764,47.5313935167,20.0000000000,8.0000750564,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
94,100,0,5,100,100,0,0,0,0,0,100,100,0.0233244764,47.5080690403,20.0000000000,8.0000750564,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
95,100,0,5,100,100,0,0,0,0,0,100,100,0.0233244764,47.4847445638,20.0000000000,8.0000750564,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
96,100,0,1,100,100,0,0,1,101,297,100,100,0.0336852790,47.4510592849,100.0000000000,8.0001859575,1.0000000000,0.8808000000,227.0663033606,0,0,0,0,0
97,100,0,1,100,100,0,0,0,0,0,100,100,0.0287886724,47.4222706125,100.0000000000,8.0001859575,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
98,100,0,1,100,100,0,0,0,0,0,100,100,0.0287886724,47.3934819401,100.0000000000,8.0001859575,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
99,100,0,1,100,100,0,0,0,0,0,100,100,0.0287886724,47.3646932677,100.0000000000,8.0001859575,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
100,100,0,1,100,100,0,0,0,0,0,100,100,0.0287886724,47.3359045953,100.0000000000,8.0001859575,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
101,100,0,11,100,100,0,0,1,110,1267,100,100,0.0395794771,47.2963251182,9.0909090909,8.0000564881,1.0000000000,0.8880000000,225.2252252252,0,0,0,0,0
102,100,0,11,100,100,0,0,0,0,0,100,100,0.0245952998,47.2717298184,9.0909090909,8.0000564881,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
103,100,0,11,100,100,0,0,0,0,0,100,100,0.0245952998,47.2471345186,9.0909090909,8.0000564881,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
104,100,0,11,100,100,0,0,0,0,0,100,100,0.0245952998,47.2225392187,9.0909090909,8.0000564881,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
105,100,0,11,100,100,0,0,0,0,0,100,100,0.0245952998,47.1979439189,9.0909090909,8.0000564881,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
106,100,0,11,100,100,0,0,1,111,1267,100,100,0.0397225904,47.1582213285,9.0909090909,8.0000525372,1.0000000000,0.8888000000,225.0225022502,0,0,0,0,0
107,100,0,11,100,100,0,0,0,0,0,100,100,0.0247346064,47.1334867221,9.0909090909,8.0000525372,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
108,100,0,11,100,100,0,0,0,0,0,100,100,0.0247346064,47.1087521157,9.0909090909,8.0000525372,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
109,100,0,11,100,100,0,0,0,0,0,100,100,0.0247346064,47.0840175093,9.0909090909,8.0000525372,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
110,100,0,11,100,100,0,0,0,0,0,100,100,0.0247346064,47.0592829029,9.0909090909,8.0000525372,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
111,100,0,8,100,100,0,0,1,108,976,100,100,0.0359577261,47.0233251768,12.5000000000,8.0000719432,1.0000000000,0.8864000000,225.6317689531,0,0,0,0,0
112,100,0,8,100,100,0,0,0,0,0,100,100,0.0241661618,46.9991590150,12.5000000000,8.0000719432,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
113,100,0,8,100,100,0,0,0,0,0,100,100,0.0241661618,46.9749928532,12.5000000000,8.0000719432,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
114,100,0,8,100,100,0,0,0,0,0,100,100,0.0241661618,46.9508266914,12.5000000000,8.0000719432,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
115,100,0,8,100,100,0,0,0,0,0,100,100,0.0241661618,46.9266605296,12.5000000000,8.0000719432,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
116,100,0,8,100,100,0,0,1,108,976,100,100,0.0353539222,46.8913066074,12.5000000000,8.0000580203,1.0000000000,0.8864000000,225.6317689531,0,0,0,0,0
117,100,0,8,100,100,0,0,0,0,0,100,100,0.0236014251,46.8677051823,12.5000000000,8.0000580203,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
118,100,0,8,100,100,0,0,0,0,0,100,100,0.0236014251,46.8441037572,12.5000000000,8.0000580203,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
119,100,0,8,100,100,0,0,0,0,0,100,100,0.0236014251,46.8205023322,12.5000000000,8.0000580203,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
120,100,0,8,100,100,0,0,0,0,0,100,100,0.0236014251,46.7969009071,12.5000000000,8.0000580203,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
121,100,0,4,100,100,0,0,1,104,588,100,100,0.0309168730,46.7659840340,25.0000000000,8.0000793314,1.0000000000,0.8832000000,226.4492753623,0,0,0,0,0
122,100,0,4,100,100,0,0,0,0,0,100,100,0.0234267817,46.7425572523,25.0000000000,8.0000793314,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
123,100,0,4,100,100,0,0,0,0,0,100,100,0.0234267817,46.7191304705,25.0000000000,8.0000793314,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
124,100,0,4,100,100,0,0,0,0,0,100,100,0.0234267817,46.6957036888,25.0000000000,8.0000793314,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
125,100,0,4,100,100,0,0,0,0,0,100,100,0.0234267817,46.6722769071,25.0000000000,8.0000793314,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
126,100,0,8,100,100,0,0,1,108,976,100,100,0.0358806190,46.6363962880,12.5000000000,8.0000585259,1.0000000000,0.8864000000,225.6317689531,0,0,0,0,0
127,100,0,8,100,100,0,0,0,0,0,100,100,0.0241284765,46.6122678115,12.5000000000,8.0000585259,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
128,100,0,8,100,100,0,0,0,0,0,100,100,0.0241284765,46.5881393349,12.5000000000,8.0000585259,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
129,100,0,8,100,100,0,0,0,0,0,100,100,0.0241284765,46.5640108584,12.5000000000,8.0000585259,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
130,100,0,8,100,100,0,0,0,0,0,100,100,0.0241284765,46.5398823818,12.5000000000,8.0000585259,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
131,100,0,4,100,100,0,0,1,104,588,100,100,0.0310946606,46.5087877213,25.0000000000,8.0000967577,1.0000000000,0.8832000000,226.4492753623,0,0,0,0,0
132,100,0,4,100,100,0,0,0,0,0,100,100,0.0235579525,46.4852297688,25.0000000000,8.0000967577,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
133,100,0,4,100,100,0,0,0,0,0,100,100,0.0235579525,46.4616718164,25.0000000000,8.0000967577,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
134,100,0,4,100,100,0,0,0,0,0,100,100,0.0235579525,46.4381138639,25.0000000000,8.0000967577,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
135,100,0,4,100,100,0,0,0,0,0,100,100,0.0235579525,46.4145559115,25.0000000000,8.0000967577,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
136,100,0,5,100,100,0,0,1,105,685,100,100,0.0334021015,46.3811538099,20.0000000000,8.0000949259,1.0000000000,0.8840000000,226.2443438914,0,0,0,0,0
137,100,0,5,100,100,0,0,0,0,0,100,100,0.0247492245,46.3564045854,20.0000000000,8.0000949259,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
138,100,0,5,100,100,0,0,0,0,0,100,100,0.0247492245,46.3316553609,20.0000000000,8.0000949259,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
139,100,0,5,100,100,0,0,0,0,0,100,100,0.0247492245,46.3069061364,20.0000000000,8.0000949259,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
140,100,0,5,100,100,0,0,0,0,0,100,100,0.0247492245,46.2821569119,20.0000000000,8.0000949259,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
141,100,0,7,100,100,0,0,1,107,879,100,100,0.0346296455,46.2475272664,14.2857142857,8.0000686606,1.0000000000,0.8856000000,225.8355916893,0,0,0,0,0
142,100,0,7,100,100,0,0,0,0,0,100,100,0.0239343061,46.2235929603,14.2857142857,8.0000686606,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
143,100,0,7,100,100,0,0,0,0,0,100,100,0.0239343061,46.1996586543,14.2857142857,8.0000686606,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
144,100,0,7,100,100,0,0,0,0,0,100,100,0.0239343061,46.1757243482,14.2857142857,8.0000686606,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
145,100,0,7,100,100,0,0,0,0,0,100,100,0.0239343061,46.1517900422,14.2857142857,8.0000686606,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
146,100,0,7,100,100,0,0,1,107,879,100,100,0.0345165548,46.1172734873,14.2857142857,8.0000683438,1.0000000000,0.8856000000,225.8355916893,0,0,0,0,0
147,100,0,7,100,100,0,0,0,0,0,100,100,0.0238201498,46.0934533375,14.2857142857,8.0000683438,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
148,100,0,7,100,100,0,0,0,0,0,100,100,0.0238201498,46.0696331877,14.2857142857,8.0000683438,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
149,100,0,7,100,100,0,0,0,0,0,100,100,0.0238201498,46.0458130379,14.2857142857,8.0000683438,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
150,100,0,7,100,100,0,0,0,0,0,100,100,0.0238201498,46.0219928880,14.2857142857,8.0000683438,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
151,100,0,2,100,100,0,0,1,102,394,100,100,0.0292295979,45.9927632901,50.0000000000,8.0001067686,1.0000000000,0.8816000000,226.8602540835,0,0,0,0,0
152,100,0,2,100,100,0,0,0,0,0,100,100,0.0238075100,45.9689557801,50.0000000000,8.0001067686,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
153,100,0,2,100,100,0,0,0,0,0,100,100,0.0238075100,45.9451482702,50.0000000000,8.0001067686,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
154,100,0,2,100,100,0,0,0,0,0,100,100,0.0238075100,45.9213407602,50.0000000000,8.0001067686,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
155,100,0,2,100,100,0,0,0,0,0,100,100,0.0238075100,45.8975332503,50.0000000000,8.0001067686,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,0
156,100,0,3,100,100,0,0,1,103,491,100,100,0.0300294658,45.8675037845,33.3333333333,8.0000916948,1.0000000000,0.8824000000,226.6545784225,0,0,0,0,0
