Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Selection_Iterations,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
297,100,0,11,100,100,0,0,6,700,8518,100,100,0.1135395019,22.1089322076,9.0909090909,15.1201614616,1.0000000000,1.3600000000,147.0588235294
298,100,0,11,100,100,0,0,6,700,8518,100,100,0.1136672898,21.9952649179,9.0909090909,15.1201739046,1.0000000000,1.3600000000,147.0588235294
299,100,0,10,100,100,0,0,6,700,8520,100,100,0.1138100129,21.8814549050,10.0000000000,15.2001813452,1.0000000000,1.3600000000,147.0588235294
300,100,0,11,100,100,0,0,6,700,8518,100,100,0.1135741417,21.7678807633,9.0909090909,15.1201648912,1.0000000000,1.3600000000,147.0588235294
301,100,0,13,100,100,0,0,6,700,8514,100,100,0.1133085726,21.6545721907,7.6923076923,14.9601560933,1.0000000000,1.3600000000,147.0588235294
302,100,0,12,100,100,0,0,6,700,8516,100,100,0.1135145818,21.5410576089,8.3333333333,15.0401688468,1.0000000000,1.3600000000,147.0588235294
303,100,0,12,100,100,0,0,6,700,8516,100,100,0.1135335740,21.4275240349,8.3333333333,15.0401719796,1.0000000000,1.3600000000,147.0588235294
304,100,0,12,100,100,0,0,6,700,8516,100,100,0.1135046278,21.3140194071,8.3333333333,15.0401664218,1.0000000000,1.3600000000,147.0588235294
305,100,0,12,100,100,0,0,6,700,8516,100,100,0.1134503391,21.2005690680,8.3333333333,15.0401666283,1.0000000000,1.3600000000,147.0588235294
306,100,0,11,100,100,0,0,6,700,8518,100,100,0.1137356235,21.0868334445,9.0909090909,15.1201710154,1.0000000000,1.3600000000,147.0588235294
307,100,0,12,100,100,0,0,6,700,8516,100,100,0.1134486324,20.9733848121,8.3333333333,15.0401654288,1.0000000000,1.3600000000,147.0588235294
308,100,0,12,100,100,0,0,6,700,8516,100,100,0.1134218091,20.8599630029,8.3333333333,15.0401644137,1.0000000000,1.3600000000,147.0588235294
309,100,0,13,100,100,0,0,6,700,8514,100,100,0.1134085704,20.7465544325,7.6923076923,14.9601690505,1.0000000000,1.3600000000,147.0588235294
310,100,0,9,100,100,0,0,6,700,8522,100,100,0.1138896646,20.6326647680,11.1111111111,15.2801724833,1.0000000000,1.3600000000,147.0588235294
311,100,0,12,100,100,0,0,6,700,8516,100,100,0.1134581600,20.5192066079,8.3333333333,15.0401639367,1.0000000000,1.3600000000,147.0588235294
