Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected
107,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,47.5503584320,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
108,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,47.5262776798,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
109,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,47.5021969276,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
110,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,47.4781161753,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
111,100,0,6,100,100,0,0,1,106,782,100,100,0.0312529009,47.4468632744,16.6666666667,15.5201807564,1.0000000000,0.8848000000,226.0397830018,0,0
112,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,47.4252363654,16.6666666667,15.5201807564,1.0000000000,0.8000000000,250.0000000000,0,0
113,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,47.4036094563,16.6666666667,15.5201807564,1.0000000000,0.8000000000,250.0000000000,0,0
114,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,47.3819825473,16.6666666667,15.5201807564,1.0000000000,0.8000000000,250.0000000000,0,0
115,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,47.3603556383,16.6666666667,15.5201807564,1.0000000000,0.8000000000,250.0000000000,0,0
116,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,47.3387287293,16.6666666667,15.5201807564,1.0000000000,0.8000000000,250.0000000000,0,0
117,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,47.3171018202,16.6666666667,15.5201807564,1.0000000000,0.8000000000,250.0000000000,0,0
118,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,47.2954749112,16.6666666667,15.5201807564,1.0000000000,0.8000000000,250.0000000000,0,0
119,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,47.2738480022,16.6666666667,15.5201807564,1.0000000000,0.8000000000,250.0000000000,0,0
