Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected
141,100,0,7,100,100,0,0,1,107,879,100,100,0.0320951892,46.5197555231,14.2857142857,15.4401755351,1.0000000000,0.8856000000,225.8355916893,0,0
142,100,0,7,100,100,0,0,0,0,0,100,100,0.0213998497,46.4983556733,14.2857142857,15.4401755351,1.0000000000,0.8000000000,250.0000000000,0,0
143,100,0,7,100,100,0,0,0,0,0,100,100,0.0213998497,46.4769558236,14.2857142857,15.4401755351,1.0000000000,0.8000000000,250.0000000000,0,0
144,100,0,7,100,100,0,0,0,0,0,100,100,0.0213998497,46.4555559739,14.2857142857,15.4401755351,1.0000000000,0.8000000000,250.0000000000,0,0
145,100,0,7,100,100,0,0,0,0,0,100,100,0.0213998497,46.4341561242,14.2857142857,15.4401755351,1.0000000000,0.8000000000,250.0000000000,0,0
146,100,0,7,100,100,0,0,1,107,879,100,100,0.0321564454,46.4019996787,14.2857142857,15.4401864321,1.0000000000,0.8856000000,225.8355916893,0,0
147,100,0,7,100,100,0,0,0,0,0,100,100,0.0214600404,46.3805396383,14.2857142857,15.4401864321,1.0000000000,0.8000000000,250.0000000000,0,0
148,100,0,7,100,100,0,0,0,0,0,100,100,0.0214600404,46.3590795979,14.2857142857,15.4401864321,1.0000000000,0.8000000000,250.0000000000,0,0
149,100,0,7,100,100,0,0,0,0,0,100,100,0.0214600404,46.3376195575,14.2857142857,15.4401864321,1.0000000000,0.8000000000,250.0000000000,0,0
150,100,0,7,100,100,0,0,0,0,0,100,100,0.0214600404,46.3161595171,14.2857142857,15.4401864321,1.0000000000,0.8000000000,250.0000000000,0,0
151,100,0,2,100,100,0,0,1,102,394,100,100,0.0286453427,46.2875141744,50.0000000000,15.8401840788,1.0000000000,0.8816000000,226.8602540835,0,0
152,100,0,2,100,100,0,0,0,0,0,100,100,0.0232232547,46.2642909197,50.0000000000,15.8401840788,1.0000000000,0.8000000000,250.0000000000,0,0
153,100,0,2,100,100,0,0,0,0,0,100,100,0.0232232547,46.2410676650,50.0000000000,15.8401840788,1.0000000000,0.8000000000,250.0000000000,0,0
154,100,0,2,100,100,0,0,0,0,0,100,100,0.0232232547,46.2178444103,50.0000000000,15.8401840788,1.0000000000,0.8000000000,250.0000000000,0,0
155,100,0,2,100,100,0,0,0,0,0,100,100,0.0232232547,46.1946211555,50.0000000000,15.8401840788,1.0000000000,0.8000000000,250.0000000000,0,0
156,100,0,3,100,100,0,0,1,103,491,100,100,0.0291877235,46.1654334320,33.3333333333,15.7602051333,1.0000000000,0.8824000000,226.6545784225,0,0
157,100,0,3,100,100,0,0,0,0,0,100,100,0.0227204864,46.1427129456,33.3333333333,15.7602051333,1.0000000000,0.8000000000,250.0000000000,0,0
158,100,0,3,100,100,0,0,0,0,0,100,100,0.0227204864,46.1199924593,33.3333333333,15.7602051333,1.0000000000,0.8000000000,250.0000000000,0,0
159,100,0,3,100,100,0,0,0,0,0,100,100,0.0227204864,46.0972719729,33.3333333333,15.7602051333,1.0000000000,0.8000000000,250.0000000000,0,0
160,100,0,3,100,100,0,0,0,0,0,100,100,0.0227204864,46.0745514865,33.3333333333,15.7602051333,1.0000000000,0.8000000000,250.0000000000,0,0
161,100,0,3,100,100,0,0,1,103,491,100,100,0.0317556072,46.0427958794,33.3333333333,15.7602405066,1.0000000000,0.8824000000,226.6545784225,0,0
162,100,0,3,100,100,0,0,0,0,0,100,100,0.0250568857,46.0177389937,33.3333333333,15.7602405066,1.0000000000,0.8000000000,250.0000000000,0,0
163,100,0,3,100,100,0,0,0,0,0,100,100,0.0250568857,45.9926821080,33.3333333333,15.7602405066,1.0000000000,0.8000000000,250.0000000000,0,0
164,100,0,3,100,100,0,0,0,0,0,100,100,0.0250568857,45.9676252223,33.3333333333,15.7602405066,1.0000000000,0.8000000000,250.0000000000,0,0
165,100,0,3,100,100,0,0,0,0,0,100,100,0.0250568857,45.9425683366,33.3333333333,15.7602405066,1.0000000000,0.8000000000,250.0000000000,0,0
166,100,0,4,100,100,0,0,1,104,588,100,100,0.0302793792,45.9122889574,25.0000000000,15.6801900857,1.0000000000,0.8832000000,226.4492753623,0,0
167,100,0,4,100,100,0,0,0,0,0,100,100,0.0227236173,45.8895653401,25.0000000000,15.6801900857,1.0000000000,0.8000000000,250.0000000000,0,0
168,100,0,4,100,100,0,0,0,0,0,100,100,0.0227236173,45.8668417229,25.0000000000,15.6801900857,1.0000000000,0.8000000000,250.0000000000,0,0
169,100,0,4,100,100,0,0,0,0,0,100,100,0.0227236173,45.8441181056,25.0000000000,15.6801900857,1.0000000000,0.8000000000,250.0000000000,0,0
