Round,Alive,Dead,CH_Count,FallbackUsed,Generated,Delivered,Lost,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
132,100,0,1,1,100,100,0,100,100,0.0324167591,45.4173999977,15.9203133667,1.0000000000,0.8000000000,250.0000000000
133,100,0,1,0,100,100,0,100,100,0.0325922453,45.3848077524,15.9203173949,1.0000000000,0.8000000000,250.0000000000
134,100,0,2,0,100,100,0,100,100,0.0310085786,45.3537991739,15.8402548667,1.0000000000,0.8000000000,250.0000000000
135,100,0,2,0,100,100,0,100,100,0.0289398483,45.3248593256,15.8401687161,1.0000000000,0.8000000000,250.0000000000
136,100,0,1,0,100,100,0,100,100,0.0305056688,45.2943536568,15.9202290844,1.0000000000,0.8000000000,250.0000000000
137,100,0,1,0,100,100,0,100,100,0.0345922635,45.2597613933,15.9203407015,1.0000000000,0.8000000000,250.0000000000
138,100,0,1,0,100,100,0,100,100,0.0304065818,45.2293548115,15.9202271728,1.0000000000,0.8000000000,250.0000000000
139,100,0,2,0,100,100,0,100,100,0.0312225440,45.1981322676,15.8402479344,1.0000000000,0.8000000000,250.0000000000
140,100,0,9,0,100,100,0,100,100,0.0340646013,45.1640676663,15.2801734894,1.0000000000,0.8000000000,250.0000000000
141,100,0,32,0,100,100,0,100,100,0.0567483930,45.1073192733,13.4401518941,1.0000000000,0.8000000000,250.0000000000
142,100,0,29,0,100,100,0,100,100,0.0538284488,45.0534908244,13.6801517565,1.0000000000,0.8000000000,250.0000000000
143,100,0,1,0,100,100,0,100,100,0.0300621983,45.0234286261,15.9202334071,1.0000000000,0.8000000000,250.0000000000
144,100,0,2,0,100,100,0,100,100,0.0290558231,44.9943728031,15.8401945079,1.0000000000,0.8000000000,250.0000000000
145,100,0,1,1,100,100,0,100,100,0.0336852790,44.9606875241,15.9203315524,1.0000000000,0.8000000000,250.0000000000
146,100,0,1,0,100,100,0,100,100,0.0355303620,44.9251571620,15.9203738097,1.0000000000,0.8000000000,250.0000000000
147,100,0,1,1,100,100,0,100,100,0.0360704445,44.8890867176,15.9203722040,1.0000000000,0.8000000000,250.0000000000
148,100,0,3,0,100,100,0,100,100,0.0293872063,44.8596995112,15.7602140538,1.0000000000,0.8000000000,250.0000000000
149,100,0,4,0,100,100,0,100,100,0.0296127029,44.8300868083,15.6802207349,1.0000000000,0.8000000000,250.0000000000
150,100,0,3,0,100,100,0,100,100,0.0301614942,44.7999253141,15.7602036785,1.0000000000,0.8000000000,250.0000000000
151,100,0,16,0,100,100,0,100,100,0.0406889228,44.7592363913,14.7201558267,1.0000000000,0.8000000000,250.0000000000
152,100,0,21,0,100,100,0,100,100,0.0455903858,44.7136460055,14.3201557756,1.0000000000,0.8000000000,250.0000000000
153,100,0,21,0,100,100,0,100,100,0.0459416171,44.6677043884,14.3201568899,1.0000000000,0.8000000000,250.0000000000
154,100,0,1,1,100,100,0,100,100,0.0297106111,44.6379937773,15.9202076673,1.0000000000,0.8000000000,250.0000000000
155,100,0,1,1,100,100,0,100,100,0.0289084780,44.6090852994,15.9201442292,1.0000000000,0.8000000000,250.0000000000
156,100,0,1,1,100,100,0,100,100,0.0407357045,44.5683495949,15.9204385303,1.0000000000,0.8000000000,250.0000000000
157,100,0,2,0,100,100,0,100,100,0.0286096405,44.5397399544,15.8401969780,1.0000000000,0.8000000000,250.0000000000
158,100,0,1,0,100,100,0,100,100,0.0300199688,44.5097199857,15.9202154285,1.0000000000,0.8000000000,250.0000000000
159,100,0,2,0,100,100,0,100,100,0.0329505731,44.4767694125,15.8403056439,1.0000000000,0.8000000000,250.0000000000
160,100,0,1,1,100,100,0,100,100,0.0300504184,44.4467189941,15.9202139210,1.0000000000,0.8000000000,250.0000000000
161,100,0,14,0,100,100,0,100,100,0.0387371869,44.4079818072,14.8801578944,1.0000000000,0.8000000000,250.0000000000
162,100,0,16,0,100,100,0,100,100,0.0409695593,44.3670122479,14.7201819171,1.0000000000,0.8000000000,250.0000000000
163,100,0,16,0,100,100,0,100,100,0.0405366884,44.3264755595,14.7201595238,1.0000000000,0.8000000000,250.0000000000
164,100,0,11,0,100,100,0,100,100,0.0359461089,44.2905294506,15.1201836480,1.0000000000,0.8000000000,250.0000000000
165,100,0,1,0,100,100,0,100,100,0.0347983609,44.2557310897,15.9203601350,1.0000000000,0.8000000000,250.0000000000
166,100,0,1,1,100,100,0,100,100,0.0344235437,44.2213075460,15.9203457279,1.0000000000,0.8000000000,250.0000000000
167,100,0,1,1,100,100,0,100,100,0.0293637288,44.1919438173,15.9201922885,1.0000000000,0.8000000000,250.0000000000
168,100,0,1,1,100,100,0,100,100,0.0291697685,44.1627740488,15.9201694712,1.0000000000,0.8000000000,250.0000000000
169,100,0,2,0,100,100,0,100,100,0.0291685562,44.1336054926,15.8402264393,1.0000000000,0.8000000000,250.0000000000
170,100,0,1,0,100,100,0,100,100,0.0326461093,44.1009593833,15.9202996803,1.0000000000,0.8000000000,250.0000000000
171,100,0,9,0,100,100,0,100,100,0.0348324982,44.0661268850,15.2801986772,1.0000000000,0.8000000000,250.0000000000
172,100,0,9,0,100,100,0,100,100,0.0346251222,44.0315017628,15.2801804135,1.0000000000,0.8000000000,250.0000000000
173,100,0,15,0,100,100,0,100,100,0.0397702478,43.9917315150,14.8001720260,1.0000000000,0.8000000000,250.0000000000
174,100,0,17,0,100,100,0,100,100,0.0416374656,43.9500940495,14.6401624107,1.0000000000,0.8000000000,250.0000000000
175,100,0,11,0,100,100,0,100,100,0.0363412988,43.9137527507,15.1202000605,1.0000000000,0.8000000000,250.0000000000
176,100,0,1,0,100,100,0,100,100,0.0302473798,43.8835053709,15.9202360582,1.0000000000,0.8000000000,250.0000000000
177,100,0,1,1,100,100,0,100,100,0.0371707063,43.8463346646,15.9203897932,1.0000000000,0.8000000000,250.0000000000
178,100,0,1,1,100,100,0,100,100,0.0383584526,43.8079762120,15.9204073032,1.0000000000,0.8000000000,250.0000000000
179,100,0,1,1,100,100,0,100,100,0.0371731363,43.7708030756,15.9203901124,1.0000000000,0.8000000000,250.0000000000
180,100,0,1,0,100,100,0,100,100,0.0353538111,43.7354492646,15.9203687212,1.0000000000,0.8000000000,250.0000000000
181,100,0,7,0,100,100,0,100,100,0.0346031425,43.7008461221,15.4402461668,1.0000000000,0.8000000000,250.0000000000
182,100,0,7,0,100,100,0,100,100,0.0320770319,43.6687690902,15.4401826353,1.0000000000,0.8000000000,250.0000000000
183,100,0,10,0,100,100,0,100,100,0.0349562861,43.6338128041,15.2001853326,1.0000000000,0.8000000000,250.0000000000
184,100,0,16,0,100,100,0,100,100,0.0408663560,43.5929464481,14.7201743371,1.0000000000,0.8000000000,250.0000000000
185,100,0,9,0,100,100,0,100,100,0.0337640774,43.5591823707,15.2801697086,1.0000000000,0.8000000000,250.0000000000
186,100,0,10,0,100,100,0,100,100,0.0352306010,43.5239517697,15.2002054645,1.0000000000,0.8000000000,250.0000000000
187,100,0,1,1,100,100,0,100,100,0.0357840860,43.4881676837,15.9203703423,1.0000000000,0.8000000000,250.0000000000
188,100,0,1,1,100,100,0,100,100,0.0294876863,43.4586799975,15.9201971859,1.0000000000,0.8000000000,250.0000000000
189,100,0,1,1,100,100,0,100,100,0.0320904216,43.4265895759,15.9202890303,1.0000000000,0.8000000000,250.0000000000
190,100,0,3,0,100,100,0,100,100,0.0298272274,43.3967623484,15.7602059407,1.0000000000,0.8000000000,250.0000000000
191,100,0,13,0,100,100,0,100,100,0.0377818611,43.3589804873,14.9601664873,1.0000000000,0.8000000000,250.0000000000
192,100,0,6,0,100,100,0,100,100,0.0319258694,43.3270546179,15.5201845887,1.0000000000,0.8000000000,250.0000000000
193,100,0,8,0,100,100,0,100,100,0.0341435687,43.2929110492,15.3602115471,1.0000000000,0.8000000000,250.0000000000
194,100,0,6,0,100,100,0,100,100,0.0328438713,43.2600671779,15.5202219230,1.0000000000,0.8000000000,250.0000000000
195,100,0,4,0,100,100,0,100,100,0.0301819249,43.2298852529,15.6802079174,1.0000000000,0.8000000000,250.0000000000
196,100,0,6,0,100,100,0,100,100,0.0321700251,43.1977152279,15.5202289786,1.0000000000,0.8000000000,250.0000000000
197,100,0,8,0,100,100,0,100,100,0.0330399800,43.1646752478,15.3601815507,1.0000000000,0.8000000000,250.0000000000
198,100,0,3,0,100,100,0,100,100,0.0321214266,43.1325538213,15.7602580759,1.0000000000,0.8000000000,250.0000000000
199,100,0,1,0,100,100,0,100,100,0.0332576261,43.0992961952,15.9203258405,1.0000000000,0.8000000000,250.0000000000
200,100,0,1,0,100,100,0,100,100,0.0352339956,43.0640621996,15.9203683693,1.0000000000,0.8000000000,250.0000000000
201,100,0,18,0,100,100,0,100,100,0.0427941328,43.0212680668,14.5601703031,1.0000000000,0.8000000000,250.0000000000
202,100,0,23,0,100,100,0,100,100,0.0475472363,42.9737208305,14.1601508184,1.0000000000,0.8000000000,250.0000000000
203,100,0,14,0,100,100,0,100,100,0.0389926373,42.9347281932,14.8801793185,1.0000000000,0.8000000000,250.0000000000
204,100,0,1,1,100,100,0,100,100,0.0357513295,42.8989768637,15.9203699104,1.0000000000,0.8000000000,250.0000000000
205,100,0,1,1,100,100,0,100,100,0.0348369491,42.8641399146,15.9203586500,1.0000000000,0.8000000000,250.0000000000
206,100,0,2,0,100,100,0,100,100,0.0287810174,42.8353588972,15.8401736508,1.0000000000,0.8000000000,250.0000000000
207,100,0,1,1,100,100,0,100,100,0.0331887704,42.8021701268,15.9203311256,1.0000000000,0.8000000000,250.0000000000
208,100,0,1,1,100,100,0,100,100,0.0332059040,42.7689642228,15.9203305035,1.0000000000,0.8000000000,250.0000000000
209,100,0,1,0,100,100,0,100,100,0.0305288906,42.7384353322,15.9202306793,1.0000000000,0.8000000000,250.0000000000
210,100,0,1,1,100,100,0,100,100,0.0299545880,42.7084807442,15.9202239530,1.0000000000,0.8000000000,250.0000000000
211,100,0,16,0,100,100,0,100,100,0.0408128913,42.6676678529,14.7201738894,1.0000000000,0.8000000000,250.0000000000
212,100,0,12,0,100,100,0,100,100,0.0371297815,42.6305380714,15.0401922564,1.0000000000,0.8000000000,250.0000000000
213,100,0,18,0,100,100,0,100,100,0.0427413502,42.5877967213,14.5601660768,1.0000000000,0.8000000000,250.0000000000
214,100,0,13,0,100,100,0,100,100,0.0381036522,42.5496930690,14.9601554816,1.0000000000,0.8000000000,250.0000000000
215,100,0,8,0,100,100,0,100,100,0.0328468432,42.5168462259,15.3601707524,1.0000000000,0.8000000000,250.0000000000
216,100,0,1,1,100,100,0,100,100,0.0345446365,42.4823015893,15.9203593991,1.0000000000,0.8000000000,250.0000000000
217,100,0,1,1,100,100,0,100,100,0.0350399241,42.4472616652,15.9203616075,1.0000000000,0.8000000000,250.0000000000
218,100,0,1,0,100,100,0,100,100,0.0344235437,42.4128381216,15.9203457279,1.0000000000,0.8000000000,250.0000000000
219,100,0,1,1,100,100,0,100,100,0.0388762373,42.3739618843,15.9204266163,1.0000000000,0.8000000000,250.0000000000
