Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,HEED_Iterations,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1667,9,91,7,9,9,0,0,6,38,13,9,9,0.0020380881,0.1668352283,1.2857142857,9.7779281873,1.0000000000,0.1024000000,175.7812500000
1668,9,91,7,9,9,0,0,6,40,16,9,9,0.0021054538,0.1647297744,1.2857142857,9.7779341881,1.0000000000,0.1040000000,173.0769230769
1669,9,91,7,9,9,0,0,6,33,17,9,9,0.0020378373,0.1626919372,1.2857142857,9.7779349115,1.0000000000,0.0984000000,182.9268292683
1670,9,91,7,9,9,0,0,6,32,15,9,9,0.0020214530,0.1606704842,1.2857142857,9.7779409123,1.0000000000,0.0976000000,184.4262295082
1671,9,91,7,9,9,0,0,6,33,14,9,9,0.0019918381,0.1586786461,1.2857142857,9.7779281873,1.0000000000,0.0984000000,182.9268292683
1672,9,91,7,9,9,0,0,6,34,13,9,9,0.0020239530,0.1566546931,1.2857142857,9.7779409123,1.0000000000,0.0992000000,181.4516129032
1673,9,91,7,9,9,0,0,6,30,12,9,9,0.0019689530,0.1546857402,1.2857142857,9.7779409123,1.0000000000,0.0960000000,187.5000000000
1674,9,91,7,9,9,0,0,6,36,16,9,9,0.0020764530,0.1526092872,1.2857142857,9.7779409123,1.0000000000,0.1008000000,178.5714285714
1675,9,91,7,9,9,0,0,6,31,12,9,9,0.0019802030,0.1506290842,1.2857142857,9.7779409123,1.0000000000,0.0968000000,185.9504132231
1676,9,91,7,9,9,0,0,6,36,16,9,9,0.0020764530,0.1485526313,1.2857142857,9.7779409123,1.0000000000,0.1008000000,178.5714285714
1677,9,91,7,9,9,0,0,6,31,11,9,9,0.0019393381,0.1466132931,1.2857142857,9.7779281873,1.0000000000,0.0968000000,185.9504132231
1678,9,91,7,9,9,0,0,6,28,12,9,9,0.0019315873,0.1446817059,1.2857142857,9.7779349115,1.0000000000,0.0944000000,190.6779661017
1679,8,92,7,9,7,2,0,6,40,15,7,7,0.0018319397,0.1428497662,1.1428571429,9.1430151361,0.7777777778,0.0880000000,159.0909090909
1680,8,92,7,8,8,0,0,6,31,6,8,8,0.0017097399,0.1411400263,1.1428571429,9.0001590468,1.0000000000,0.0888000000,180.1801801802
