Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS
56,100,0,6,100,100,0,0,1,106,782,100,100,0.0422757546,47.9571263333,16.6666666667,15.5205816623,1.0000000000,0.8848000000,226.0397830018,0,0,0,0
57,100,0,6,100,100,0,0,0,0,0,100,100,0.0326497627,47.9244765707,16.6666666667,15.5205816623,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
58,100,0,6,100,100,0,0,0,0,0,100,100,0.0326497627,47.8918268080,16.6666666667,15.5205816623,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
59,100,0,6,100,100,0,0,0,0,0,100,100,0.0326497627,47.8591770453,16.6666666667,15.5205816623,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
60,100,0,6,100,100,0,0,0,0,0,100,100,0.0326497627,47.8265272826,16.6666666667,15.5205816623,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
61,100,0,3,100,100,0,0,1,103,491,100,100,0.0361735105,47.7903537721,33.3333333333,15.7606086527,1.0000000000,0.8824000000,226.6545784225,0,0,0,0
62,100,0,3,100,100,0,0,0,0,0,100,100,0.0297389668,47.7606148052,33.3333333333,15.7606086527,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
63,100,0,3,100,100,0,0,0,0,0,100,100,0.0297389668,47.7308758384,33.3333333333,15.7606086527,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
64,100,0,3,100,100,0,0,0,0,0,100,100,0.0297389668,47.7011368716,33.3333333333,15.7606086527,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
65,100,0,3,100,100,0,0,0,0,0,100,100,0.0297389668,47.6713979047,33.3333333333,15.7606086527,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
66,100,0,2,100,100,0,0,1,102,394,100,100,0.0315995399,47.6397983648,50.0000000000,15.8406132872,1.0000000000,0.8816000000,226.8602540835,0,0,0,0
67,100,0,2,100,100,0,0,0,0,0,100,100,0.0261439479,47.6136544169,50.0000000000,15.8406132872,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
68,100,0,2,100,100,0,0,0,0,0,100,100,0.0261439479,47.5875104690,50.0000000000,15.8406132872,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
69,100,0,2,100,100,0,0,0,0,0,100,100,0.0261439479,47.5613665212,50.0000000000,15.8406132872,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
70,100,0,2,100,100,0,0,0,0,0,100,100,0.0261439479,47.5352225733,50.0000000000,15.8406132872,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
71,100,0,4,100,100,0,0,1,104,588,100,100,0.0409637124,47.4942588609,25.0000000000,15.6806457305,1.0000000000,0.8832000000,226.4492753623,0,0,0,0
72,100,0,4,100,100,0,0,0,0,0,100,100,0.0334317304,47.4608271305,25.0000000000,15.6806457305,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
73,100,0,4,100,100,0,0,0,0,0,100,100,0.0334317304,47.4273954001,25.0000000000,15.6806457305,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
74,100,0,4,100,100,0,0,0,0,0,100,100,0.0334317304,47.3939636697,25.0000000000,15.6806457305,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
75,100,0,4,100,100,0,0,0,0,0,100,100,0.0334317304,47.3605319393,25.0000000000,15.6806457305,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
76,100,0,1,100,100,0,0,1,101,297,100,100,0.0361197134,47.3244122258,100.0000000000,15.9208169515,1.0000000000,0.8808000000,227.0663033606,0,0,0,0
77,100,0,1,100,100,0,0,0,0,0,100,100,0.0313241902,47.2930880356,100.0000000000,15.9208169515,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
78,100,0,1,100,100,0,0,0,0,0,100,100,0.0313241902,47.2617638453,100.0000000000,15.9208169515,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
79,100,0,1,100,100,0,0,0,0,0,100,100,0.0313241902,47.2304396551,100.0000000000,15.9208169515,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
80,100,0,1,100,100,0,0,0,0,0,100,100,0.0313241902,47.1991154649,100.0000000000,15.9208169515,1.0000000000,0.8000000000,250.0000000000,0,0,0,0
81,100,0,1,100,100,0,0,1,101,297,100,100,0.0353224571,47.1637930078,100.0000000000,15.9206293563,1.0000000000,0.8808000000,227.0663033606,0,0,0,0
