Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Rejected_Promotions
118,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,47.3617265794,33.3333333333,15.7601765007,1.0000000000,0.8000000000,250.0000000000,0,0
119,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,47.3394726759,33.3333333333,15.7601765007,1.0000000000,0.8000000000,250.0000000000,0,0
120,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,47.3172187724,33.3333333333,15.7601765007,1.0000000000,0.8000000000,250.0000000000,0,0
121,100,0,6,100,100,0,0,1,106,782,100,100,0.0320318426,47.2851869298,16.6666666667,15.5201899589,1.0000000000,0.8848000000,226.0397830018,0,0
122,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,47.2628488533,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
123,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,47.2405107768,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
124,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,47.2181727003,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
125,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,47.1958346237,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
126,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,47.1734965472,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
127,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,47.1511584707,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
128,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,47.1288203942,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
129,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,47.1064823177,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
130,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,47.0841442412,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
131,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,47.0618061647,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
132,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,47.0394680882,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
133,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,47.0171300117,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
