Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
141,100,0,7,100,100,0,0,1,107,879,100,100,0.0356845054,46.0982251189,14.2857142857,8.0000720393,1.0000000000,0.8856000000,225.8355916893
142,100,0,7,100,100,0,0,0,0,0,100,100,0.0249891659,46.0732359530,14.2857142857,8.0000720393,1.0000000000,0.8000000000,250.0000000000
143,100,0,7,100,100,0,0,0,0,0,100,100,0.0249891659,46.0482467870,14.2857142857,8.0000720393,1.0000000000,0.8000000000,250.0000000000
144,100,0,7,100,100,0,0,0,0,0,100,100,0.0249891659,46.0232576211,14.2857142857,8.0000720393,1.0000000000,0.8000000000,250.0000000000
145,100,0,7,100,100,0,0,0,0,0,100,100,0.0249891659,45.9982684552,14.2857142857,8.0000720393,1.0000000000,0.8000000000,250.0000000000
146,100,0,7,100,100,0,0,1,107,879,100,100,0.0352909926,45.9629774627,14.2857142857,8.0000719265,1.0000000000,0.8856000000,225.8355916893
147,100,0,7,100,100,0,0,0,0,0,100,100,0.0245945875,45.9383828751,14.2857142857,8.0000719265,1.0000000000,0.8000000000,250.0000000000
148,100,0,7,100,100,0,0,0,0,0,100,100,0.0245945875,45.9137882876,14.2857142857,8.0000719265,1.0000000000,0.8000000000,250.0000000000
149,100,0,7,100,100,0,0,0,0,0,100,100,0.0245945875,45.8891937000,14.2857142857,8.0000719265,1.0000000000,0.8000000000,250.0000000000
150,100,0,7,100,100,0,0,0,0,0,100,100,0.0245945875,45.8645991125,14.2857142857,8.0000719265,1.0000000000,0.8000000000,250.0000000000
151,100,0,2,100,100,0,0,1,102,394,100,100,0.0305550255,45.8340440870,50.0000000000,8.0001110645,1.0000000000,0.8816000000,226.8602540835
152,100,0,2,100,100,0,0,0,0,0,100,100,0.0251329376,45.8089111494,50.0000000000,8.0001110645,1.0000000000,0.8000000000,250.0000000000
153,100,0,2,100,100,0,0,0,0,0,100,100,0.0251329376,45.7837782118,50.0000000000,8.0001110645,1.0000000000,0.8000000000,250.0000000000
154,100,0,2,100,100,0,0,0,0,0,100,100,0.0251329376,45.7586452743,50.0000000000,8.0001110645,1.0000000000,0.8000000000,250.0000000000
155,100,0,2,100,100,0,0,0,0,0,100,100,0.0251329376,45.7335123367,50.0000000000,8.0001110645,1.0000000000,0.8000000000,250.0000000000
156,100,0,3,100,100,0,0,1,103,491,100,100,0.0310649527,45.7024473841,33.3333333333,8.0000953468,1.0000000000,0.8824000000,226.6545784225
157,100,0,3,100,100,0,0,0,0,0,100,100,0.0245977155,45.6778496686,33.3333333333,8.0000953468,1.0000000000,0.8000000000,250.0000000000
158,100,0,3,100,100,0,0,0,0,0,100,100,0.0245977155,45.6532519531,33.3333333333,8.0000953468,1.0000000000,0.8000000000,250.0000000000
159,100,0,3,100,100,0,0,0,0,0,100,100,0.0245977155,45.6286542376,33.3333333333,8.0000953468,1.0000000000,0.8000000000,250.0000000000
160,100,0,3,100,100,0,0,0,0,0,100,100,0.0245977155,45.6040565221,33.3333333333,8.0000953468,1.0000000000,0.8000000000,250.0000000000
161,100,0,3,100,100,0,0,1,103,491,100,100,0.0331678203,45.5708887018,33.3333333333,8.0001362212,1.0000000000,0.8824000000,226.6545784225
162,100,0,3,100,100,0,0,0,0,0,100,100,0.0264690989,45.5444196029,33.3333333333,8.0001362212,1.0000000000,0.8000000000,250.0000000000
163,100,0,3,100,100,0,0,0,0,0,100,100,0.0264690989,45.5179505041,33.3333333333,8.0001362212,1.0000000000,0.8000000000,250.0000000000
164,100,0,3,100,100,0,0,0,0,0,100,100,0.0264690989,45.4914814052,33.3333333333,8.0001362212,1.0000000000,0.8000000000,250.0000000000
165,100,0,3,100,100,0,0,0,0,0,100,100,0.0264690989,45.4650123064,33.3333333333,8.0001362212,1.0000000000,0.8000000000,250.0000000000
166,100,0,4,100,100,0,0,1,104,588,100,100,0.0321141337,45.4328981727,25.0000000000,8.0000980941,1.0000000000,0.8832000000,226.4492753623
167,100,0,4,100,100,0,0,0,0,0,100,100,0.0245583718,45.4083398009,25.0000000000,8.0000980941,1.0000000000,0.8000000000,250.0000000000
168,100,0,4,100,100,0,0,0,0,0,100,100,0.0245583718,45.3837814291,25.0000000000,8.0000980941,1.0000000000,0.8000000000,250.0000000000
169,100,0,4,100,100,0,0,0,0,0,100,100,0.0245583718,45.3592230574,25.0000000000,8.0000980941,1.0000000000,0.8000000000,250.0000000000
170,100,0,4,100,100,0,0,0,0,0,100,100,0.0245583718,45.3346646856,25.0000000000,8.0000980941,1.0000000000,0.8000000000,250.0000000000
171,100,0,6,100,100,0,0,1,106,782,100,100,0.0338509573,45.3008137283,16.6666666667,8.0000717301,1.0000000000,0.8848000000,226.0397830018
172,100,0,6,100,100,0,0,0,0,0,100,100,0.0242508610,45.2765628673,16.6666666667,8.0000717301,1.0000000000,0.8000000000,250.0000000000
173,100,0,6,100,100,0,0,0,0,0,100,100,0.0242508610,45.2523120063,16.6666666667,8.0000717301,1.0000000000,0.8000000000,250.0000000000
174,100,0,6,100,100,0,0,0,0,0,100,100,0.0242508610,45.2280611453,16.6666666667,8.0000717301,1.0000000000,0.8000000000,250.0000000000
175,100,0,6,100,100,0,0,0,0,0,100,100,0.0242508610,45.2038102843,16.6666666667,8.0000717301,1.0000000000,0.8000000000,250.0000000000
176,100,0,2,100,100,0,0,1,102,394,100,100,0.0375001697,45.1663101145,50.0000000000,8.0001863838,1.0000000000,0.8816000000,226.8602540835
177,100,0,2,100,100,0,0,0,0,0,100,100,0.0314577894,45.1348523251,50.0000000000,8.0001863838,1.0000000000,0.8000000000,250.0000000000
178,100,0,2,100,100,0,0,0,0,0,100,100,0.0314577894,45.1033945357,50.0000000000,8.0001863838,1.0000000000,0.8000000000,250.0000000000
179,100,0,2,100,100,0,0,0,0,0,100,100,0.0314577894,45.0719367462,50.0000000000,8.0001863838,1.0000000000,0.8000000000,250.0000000000
