Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS
128,100,0,5,100,100,0,0,0,0,0,100,100,0.0199040842,47.3137210847,20.0000000000,13.9201690830,1.0000000000,0.8000000000,250.0000000000,0,0,0,21
129,100,0,5,100,100,0,0,0,0,0,100,100,0.0199040842,47.2938170005,20.0000000000,13.9201690830,1.0000000000,0.8000000000,250.0000000000,0,0,0,21
130,100,0,5,100,100,0,0,0,0,0,100,100,0.0199040842,47.2739129162,20.0000000000,13.9201690830,1.0000000000,0.8000000000,250.0000000000,0,0,0,21
131,100,0,6,100,100,0,0,1,106,782,100,100,0.0298970435,47.2440158727,16.6666666667,14.8001811007,1.0000000000,0.8848000000,226.0397830018,0,0,0,9
132,100,0,6,100,100,0,0,0,0,0,100,100,0.0203095328,47.2237063399,16.6666666667,14.8001811007,1.0000000000,0.8000000000,250.0000000000,0,0,0,9
133,100,0,6,100,100,0,0,0,0,0,100,100,0.0203095328,47.2033968071,16.6666666667,14.8001811007,1.0000000000,0.8000000000,250.0000000000,0,0,0,9
134,100,0,6,100,100,0,0,0,0,0,100,100,0.0203095328,47.1830872744,16.6666666667,14.8001811007,1.0000000000,0.8000000000,250.0000000000,0,0,0,9
135,100,0,6,100,100,0,0,0,0,0,100,100,0.0203095328,47.1627777416,16.6666666667,14.8001811007,1.0000000000,0.8000000000,250.0000000000,0,0,0,9
136,100,0,1,100,100,0,0,1,101,297,100,100,0.0203739291,47.1424038124,100.0000000000,9.7601485546,1.0000000000,0.8808000000,227.0663033606,0,0,0,77
137,100,0,1,100,100,0,0,0,0,0,100,100,0.0154323678,47.1269714446,100.0000000000,9.7601485546,1.0000000000,0.8000000000,250.0000000000,0,0,0,77
138,100,0,1,100,100,0,0,0,0,0,100,100,0.0154323678,47.1115390768,100.0000000000,9.7601485546,1.0000000000,0.8000000000,250.0000000000,0,0,0,77
139,100,0,1,100,100,0,0,0,0,0,100,100,0.0154323678,47.0961067090,100.0000000000,9.7601485546,1.0000000000,0.8000000000,250.0000000000,0,0,0,77
140,100,0,1,100,100,0,0,0,0,0,100,100,0.0154323678,47.0806743412,100.0000000000,9.7601485546,1.0000000000,0.8000000000,250.0000000000,0,0,0,77
141,100,0,5,100,100,0,0,1,105,685,100,100,0.0268610091,47.0538133321,20.0000000000,12.8801744982,1.0000000000,0.8840000000,226.2443438914,0,0,0,34
142,100,0,5,100,100,0,0,0,0,0,100,100,0.0182255227,47.0355878095,20.0000000000,12.8801744982,1.0000000000,0.8000000000,250.0000000000,0,0,0,34
143,100,0,5,100,100,0,0,0,0,0,100,100,0.0182255227,47.0173622868,20.0000000000,12.8801744982,1.0000000000,0.8000000000,250.0000000000,0,0,0,34
144,100,0,5,100,100,0,0,0,0,0,100,100,0.0182255227,46.9991367642,20.0000000000,12.8801744982,1.0000000000,0.8000000000,250.0000000000,0,0,0,34
145,100,0,5,100,100,0,0,0,0,0,100,100,0.0182255227,46.9809112415,20.0000000000,12.8801744982,1.0000000000,0.8000000000,250.0000000000,0,0,0,34
146,100,0,4,100,100,0,0,1,104,588,100,100,0.0251491314,46.9557621101,25.0000000000,12.0001665387,1.0000000000,0.8832000000,226.4492753623,0,0,0,46
147,100,0,4,100,100,0,0,0,0,0,100,100,0.0174850054,46.9382771048,25.0000000000,12.0001665387,1.0000000000,0.8000000000,250.0000000000,0,0,0,46
148,100,0,4,100,100,0,0,0,0,0,100,100,0.0174850054,46.9207920994,25.0000000000,12.0001665387,1.0000000000,0.8000000000,250.0000000000,0,0,0,46
149,100,0,4,100,100,0,0,0,0,0,100,100,0.0174850054,46.9033070941,25.0000000000,12.0001665387,1.0000000000,0.8000000000,250.0000000000,0,0,0,46
150,100,0,4,100,100,0,0,0,0,0,100,100,0.0174850054,46.8858220887,25.0000000000,12.0001665387,1.0000000000,0.8000000000,250.0000000000,0,0,0,46
151,100,0,5,100,100,0,0,1,105,685,100,100,0.0282302707,46.8575918180,20.0000000000,14.2401629823,1.0000000000,0.8840000000,226.2443438914,0,0,0,17
152,100,0,5,100,100,0,0,0,0,0,100,100,0.0196965702,46.8378952478,20.0000000000,14.2401629823,1.0000000000,0.8000000000,250.0000000000,0,0,0,17
153,100,0,5,100,100,0,0,0,0,0,100,100,0.0196965702,46.8181986775,20.0000000000,14.2401629823,1.0000000000,0.8000000000,250.0000000000,0,0,0,17
154,100,0,5,100,100,0,0,0,0,0,100,100,0.0196965702,46.7985021073,20.0000000000,14.2401629823,1.0000000000,0.8000000000,250.0000000000,0,0,0,17
155,100,0,5,100,100,0,0,0,0,0,100,100,0.0196965702,46.7788055371,20.0000000000,14.2401629823,1.0000000000,0.8000000000,250.0000000000,0,0,0,17
156,100,0,4,100,100,0,0,1,104,588,100,100,0.0270791823,46.7517263548,25.0000000000,13.6801644503,1.0000000000,0.8832000000,226.4492753623,0,0,0,25
157,100,0,4,100,100,0,0,0,0,0,100,100,0.0195389239,46.7321874309,25.0000000000,13.6801644503,1.0000000000,0.8000000000,250.0000000000,0,0,0,25
158,100,0,4,100,100,0,0,0,0,0,100,100,0.0195389239,46.7126485071,25.0000000000,13.6801644503,1.0000000000,0.8000000000,250.0000000000,0,0,0,25
159,100,0,4,100,100,0,0,0,0,0,100,100,0.0195389239,46.6931095832,25.0000000000,13.6801644503,1.0000000000,0.8000000000,250.0000000000,0,0,0,25
160,100,0,4,100,100,0,0,0,0,0,100,100,0.0195389239,46.6735706594,25.0000000000,13.6801644503,1.0000000000,0.8000000000,250.0000000000,0,0,0,25
